               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,           0.0092097,           0.0032577,           0.0003043,             0.59892,              0.6348,              0.6127,             0.46184,            0.023266,           0.0070955,            0.066976,           0.0037135,           0.0037135,           0.0037135
                 129,            0.009341,           0.0032101,          0.00062608,              0.5806,             0.64853,             0.60252,             0.44793,            0.023459,           0.0072777,            0.068187,            0.003664,            0.003664,            0.003664
                 130,           0.0092547,           0.0033483,          0.00071598,             0.53809,             0.70344,             0.59381,             0.44256,            0.023543,           0.0072862,            0.067343,           0.0036145,           0.0036145,           0.0036145
                 131,           0.0091456,            0.003352,          0.00032375,             0.51846,             0.65509,             0.55094,             0.41441,            0.023243,            0.007511,            0.075649,            0.003565,            0.003565,            0.003565
                 132,           0.0094193,           0.0033013,          0.00037981,             0.54236,             0.70504,             0.59455,             0.44467,            0.023417,           0.0071049,            0.071556,           0.0035155,           0.0035155,           0.0035155
                 133,           0.0088728,           0.0031388,          0.00039121,              0.5481,             0.72974,             0.61565,             0.45708,            0.023002,            0.006876,            0.071777,            0.003466,            0.003466,            0.003466
                 134,           0.0094947,           0.0033077,          0.00048699,             0.59437,             0.68214,             0.63798,             0.47962,            0.022643,           0.0068551,             0.06518,           0.0034165,           0.0034165,           0.0034165
                 135,           0.0089056,           0.0032502,          0.00036727,             0.56429,             0.71399,             0.65098,             0.49081,            0.022747,           0.0067065,            0.067976,            0.003367,            0.003367,            0.003367
                 136,           0.0089066,           0.0032082,          0.00048696,             0.56803,             0.72324,             0.63604,              0.4794,            0.023144,           0.0069249,            0.071326,           0.0033175,           0.0033175,           0.0033175
                 137,           0.0088835,            0.003129,          0.00031346,             0.58091,             0.72798,             0.64461,             0.49189,             0.02279,           0.0070387,            0.071766,            0.003268,            0.003268,            0.003268
                 138,           0.0087903,           0.0031001,           0.0002411,             0.57187,             0.70999,             0.62537,             0.47142,            0.022919,            0.007053,            0.074215,           0.0032185,           0.0032185,           0.0032185
                 139,           0.0087572,           0.0030353,          0.00021725,              0.5939,             0.70138,             0.63481,             0.47858,            0.022705,           0.0068339,            0.071915,            0.003169,            0.003169,            0.003169
                 140,           0.0089708,           0.0031876,          0.00067927,             0.55027,             0.71265,             0.61167,             0.45641,            0.023115,            0.006941,            0.069369,           0.0031195,           0.0031195,           0.0031195
                 141,           0.0086032,           0.0030395,          0.00036667,               0.573,             0.65464,             0.61864,             0.46032,            0.023456,           0.0070365,             0.06897,             0.00307,             0.00307,             0.00307
                 142,           0.0086893,           0.0029509,          0.00053715,             0.55579,             0.70899,             0.62845,             0.46394,            0.023395,           0.0071371,            0.069133,           0.0030205,           0.0030205,           0.0030205
                 143,           0.0083584,           0.0030884,          0.00040682,             0.54444,             0.69749,             0.61184,             0.45578,             0.02317,           0.0073528,             0.06744,            0.002971,            0.002971,            0.002971
                 144,           0.0083609,           0.0030591,          0.00048115,             0.54418,             0.72078,             0.63614,             0.47448,            0.023033,           0.0068515,             0.06574,           0.0029215,           0.0029215,           0.0029215
                 145,           0.0085764,           0.0031103,          0.00026145,             0.55661,             0.71149,             0.62631,             0.47172,            0.023277,           0.0071596,            0.067094,            0.002872,            0.002872,            0.002872
                 146,           0.0083624,           0.0030573,          0.00033592,             0.54439,             0.70728,             0.62852,             0.47204,             0.02305,           0.0069464,             0.06655,           0.0028225,           0.0028225,           0.0028225
                 147,           0.0084449,           0.0029434,          0.00052302,             0.54461,             0.68709,             0.61065,             0.45845,            0.023199,           0.0071688,            0.071865,            0.002773,            0.002773,            0.002773
                 148,           0.0087162,           0.0029878,           0.0003204,             0.54408,             0.71149,              0.6216,             0.46466,            0.022866,           0.0070423,            0.072137,           0.0027235,           0.0027235,           0.0027235
                 149,           0.0083234,           0.0029841,          0.00033017,             0.56102,             0.71539,             0.62074,             0.46734,            0.022823,           0.0070297,            0.068293,            0.002674,            0.002674,            0.002674
                 150,            0.008394,           0.0028399,          0.00039087,             0.55358,             0.69999,             0.60807,             0.45784,            0.023068,           0.0072337,            0.069778,           0.0026245,           0.0026245,           0.0026245
                 151,           0.0081557,           0.0029582,          0.00032016,             0.54724,             0.72447,              0.6034,             0.45171,            0.022903,            0.007245,            0.070885,            0.002575,            0.002575,            0.002575
                 152,           0.0082563,           0.0028408,          0.00031577,             0.54937,              0.7174,             0.61871,             0.46265,            0.022867,           0.0073103,            0.069027,           0.0025255,           0.0025255,           0.0025255
                 153,           0.0084138,           0.0030174,          0.00038658,             0.56186,             0.70301,             0.61753,             0.46341,            0.022762,           0.0071131,            0.067001,            0.002476,            0.002476,            0.002476
